RecordID,MeasurementUnitID,CowKey,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SequenceInCow,DataClass,Source,SourceWeight
MEAS_R000059,MEAS_UNIT_000059,C001,30.6,38.1,5.4,22.0,17,measured,S01,1.0
MEAS_R000060,MEAS_UNIT_000060,C001,30.5,38.1,5.5,23.0,18,measured,S01,1.0
MEAS_R000061,MEAS_UNIT_000061,C027,29.5,38.9,5.4,0.0,1,measured,S01,1.0
MEAS_R000062,MEAS_UNIT_000062,C027,30.9,41.5,6.1,11.0,5,measured,S01,1.0
MEAS_R000063,MEAS_UNIT_000063,C027,31.5,38.7,5.0,11.0,6,measured,S01,1.0
MEAS_R000064,MEAS_UNIT_000064,C027,31.9,38.5,6.9,12.0,7,measured,S01,1.0
MEAS_R000065,MEAS_UNIT_000065,C027,31.1,38.6,8.0,13.0,9,measured,S01,1.0
MEAS_R000066,MEAS_UNIT_000066,C027,32.8,38.5,9.3,13.0,10,measured,S01,1.0
MEAS_R000067,MEAS_UNIT_000067,C027,33.8,38.6,8.8,14.0,12,measured,S01,1.0
MEAS_R000068,MEAS_UNIT_000068,C027,30.7,38.5,11.2,15.0,13,measured,S01,1.0
MEAS_R000069,MEAS_UNIT_000069,C027,33.9,38.5,9.1,15.0,14,measured,S01,1.0
MEAS_R000070,MEAS_UNIT_000070,C027,32.3,39.1,9.0,19.0,15,measured,S01,1.0
MEAS_R000071,MEAS_UNIT_000071,C027,32.5,39.1,6.0,21.0,16,measured,S01,1.0
MEAS_R000072,MEAS_UNIT_000072,C027,32.7,38.2,5.5,23.0,17,measured,S01,1.0
MEAS_R000073,MEAS_UNIT_000073,C026,28.6,38.3,5.4,0.0,1,measured,S01,1.0
MEAS_R000074,MEAS_UNIT_000074,C026,33.9,38.5,8.0,13.0,7,measured,S01,1.0
MEAS_R000075,MEAS_UNIT_000075,C026,33.9,38.6,11.2,15.0,9,measured,S01,1.0
MEAS_R000076,MEAS_UNIT_000076,C026,30.6,39.0,9.0,19.0,12,measured,S01,1.0
MEAS_R000077,MEAS_UNIT_000077,C026,30.7,39.1,6.0,21.0,13,measured,S01,1.0
MEAS_R000078,MEAS_UNIT_000078,C026,30.6,38.9,5.4,22.0,14,measured,S01,1.0
MEAS_R000079,MEAS_UNIT_000079,C026,30.7,38.6,5.5,23.0,17,measured,S01,1.0
MEAS_R000080,MEAS_UNIT_000080,C016,28.7,38.9,5.4,0.0,1,measured,S01,1.0
MEAS_R000081,MEAS_UNIT_000081,C016,31.8,39.2,6.1,11.0,5,measured,S01,1.0
MEAS_R000082,MEAS_UNIT_000082,C016,32.2,38.0,6.9,12.0,6,measured,S01,1.0
MEAS_R000083,MEAS_UNIT_000083,C016,31.9,38.1,9.3,13.0,8,measured,S01,1.0
MEAS_R000084,MEAS_UNIT_000084,C016,33.0,38.3,8.8,14.0,9,measured,S01,1.0
MEAS_R000085,MEAS_UNIT_000085,C016,33.2,38.7,9.1,15.0,10,measured,S01,1.0
MEAS_R000086,MEAS_UNIT_000086,C016,32.1,39.4,9.0,19.0,13,measured,S01,1.0
MEAS_R000087,MEAS_UNIT_000087,C016,31.1,38.6,6.0,21.0,15,measured,S01,1.0
MEAS_R000088,MEAS_UNIT_000088,C016,31.8,38.8,5.5,23.0,16,measured,S01,1.0
MEAS_R000089,MEAS_UNIT_000089,C022,25.4,38.1,5.4,0.0,1,measured,S01,1.0
MEAS_R000090,MEAS_UNIT_000090,C022,25.3,38.3,5.0,11.0,2,measured,S01,1.0
MEAS_R000091,MEAS_UNIT_000091,C022,32.2,38.1,6.1,11.0,3,measured,S01,1.0
MEAS_R000092,MEAS_UNIT_000092,C022,29.7,38.1,6.9,12.0,4,measured,S01,1.0
MEAS_R000093,MEAS_UNIT_000093,C022,32.8,38.7,6.8,12.0,5,measured,S01,1.0
MEAS_R000094,MEAS_UNIT_000094,C022,31.3,38.2,9.3,13.0,6,measured,S01,1.0
MEAS_R000095,MEAS_UNIT_000095,C022,32.5,38.7,8.0,13.0,7,measured,S01,1.0
MEAS_R000096,MEAS_UNIT_000096,C022,31.2,39.0,8.8,14.0,8,measured,S01,1.0
MEAS_R000097,MEAS_UNIT_000097,C022,32.3,39.5,9.1,15.0,9,measured,S01,1.0
MEAS_R000098,MEAS_UNIT_000098,C022,33.3,38.0,11.2,15.0,10,measured,S01,1.0
MEAS_R000099,MEAS_UNIT_000099,C022,32.9,38.3,9.0,19.0,11,measured,S01,1.0
MEAS_R000100,MEAS_UNIT_000100,C022,31.5,38.2,6.0,21.0,12,measured,S01,1.0
MEAS_R000101,MEAS_UNIT_000101,C022,31.1,38.2,5.4,22.0,15,measured,S01,1.0
MEAS_R000102,MEAS_UNIT_000102,C022,32.1,38.5,5.5,23.0,17,measured,S01,1.0
MEAS_R000103,MEAS_UNIT_000103,C014,28.2,38.5,5.4,0.0,1,measured,S01,1.0
MEAS_R000104,MEAS_UNIT_000104,C014,30.4,38.5,5.0,11.0,5,measured,S01,1.0
MEAS_R000105,MEAS_UNIT_000105,C014,31.0,38.0,6.1,11.0,6,measured,S01,1.0
MEAS_R000106,MEAS_UNIT_000106,C014,31.6,38.1,6.8,12.0,7,measured,S01,1.0
MEAS_R000107,MEAS_UNIT_000107,C014,32.0,38.2,6.9,12.0,8,measured,S01,1.0
MEAS_R000108,MEAS_UNIT_000108,C014,30.8,37.5,8.0,13.0,9,measured,S01,1.0
MEAS_R000109,MEAS_UNIT_000109,C014,32.7,38.1,9.3,13.0,10,measured,S01,1.0
MEAS_R000110,MEAS_UNIT_000110,C014,33.2,38.0,8.8,14.0,12,measured,S01,1.0
MEAS_R000111,MEAS_UNIT_000111,C014,33.5,38.0,11.2,15.0,13,measured,S01,1.0
