RecordID,CowKey,Source,RowID,SourceRowID,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SourceType,EarStatus,SourceWeight,MeasurementUnitID,AcquisitionSession,OuterFold_20260523,OuterFold_20260607,OuterFold_20260701,OuterFold_20260811,OuterFold_20260903,SeqInCowSource,CowSourceN,EarLag1_C,EarLag2_C,AmbientLag1_C,EarDelta1_C,AmbientDelta1_C,TimeSin,TimeCos,ThermalLoad,EarAirGap_C,HotFlag,NightFlag
MEAS_R000021,C003,S01,21,21,33.7,38.0,5.5,23.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000021,0,1,4,1,2,2,17,17,32.0,32.0,6.0,1.7000000000000028,-0.5,-0.25881904510252157,0.9659258262890681,0.0,28.200000000000003,0,1
MEAS_R000022,C002,S01,22,22,32.9,38.2,5.4,0.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000022,0,5,3,1,3,3,1,17,32.9,32.9,5.4,0.0,0.0,0.0,1.0,0.0,27.5,0,1
MEAS_R000023,C002,S01,23,23,30.8,39.5,6.1,11.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000023,0,1,5,4,5,2,2,17,32.9,32.9,5.4,-2.099999999999998,0.6999999999999993,0.258819045102521,-0.9659258262890682,0.0,24.700000000000003,0,0
MEAS_R000024,C002,S01,24,24,33.1,39.1,5.0,11.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000024,0,2,3,3,5,3,3,17,30.8,32.9,6.1,2.3000000000000007,-1.0999999999999996,0.258819045102521,-0.9659258262890682,0.0,28.1,0,0
MEAS_R000025,C002,S01,25,25,34.2,38.5,6.9,12.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000025,0,4,2,3,4,2,4,17,33.1,30.8,5.0,1.1000000000000014,1.9000000000000004,1.2246467991473532e-16,-1.0,0.0,27.300000000000004,0,0
MEAS_R000026,C002,S01,26,26,36.2,39.3,6.8,12.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000026,0,5,1,4,4,5,5,17,34.2,33.1,6.9,2.0,-0.10000000000000053,1.2246467991473532e-16,-1.0,0.0,29.400000000000002,0,0
MEAS_R000027,C002,S01,27,27,32.8,39.2,8.0,13.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000027,0,2,4,5,2,1,8,17,33.4,34.2,11.7,-0.6000000000000014,-3.6999999999999993,-0.2588190451025208,-0.9659258262890683,0.0,24.799999999999997,0,0
MEAS_R000028,C002,S01,28,28,33.9,38.8,9.3,13.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000028,0,1,1,1,2,5,9,17,32.8,33.4,8.0,1.1000000000000014,1.3000000000000007,-0.2588190451025208,-0.9659258262890683,0.0,24.599999999999998,0,0
MEAS_R000029,C002,S01,29,29,36.2,39.0,8.8,14.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000029,0,3,2,2,1,1,11,17,34.8,33.9,8.0,1.4000000000000057,0.8000000000000007,-0.4999999999999997,-0.8660254037844388,0.0,27.400000000000002,0,0
MEAS_R000030,C002,S01,30,30,36.0,38.9,9.1,15.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000030,0,4,4,1,3,1,12,17,36.2,34.8,8.8,-0.20000000000000284,0.29999999999999893,-0.7071067811865471,-0.7071067811865479,0.0,26.9,0,0
MEAS_R000031,C002,S01,31,31,33.7,40.0,9.0,19.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000031,0,1,1,2,1,4,14,17,36.7,36.0,5.2,-3.0,3.8,-0.9659258262890684,0.2588190451025203,0.0,24.700000000000003,0,0
MEAS_R000032,C002,S01,32,32,32.6,39.7,6.0,21.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000032,0,3,5,2,1,2,15,17,33.7,36.7,9.0,-1.1000000000000014,-3.0,-0.7071067811865477,0.7071067811865474,0.0,26.6,0,1
MEAS_R000033,C002,S01,33,33,33.2,39.6,5.4,22.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000033,0,4,2,3,3,3,16,17,32.6,33.7,6.0,0.6000000000000014,-0.5999999999999996,-0.5000000000000004,0.8660254037844384,0.0,27.800000000000004,0,1
MEAS_R000034,C002,S01,34,34,33.5,39.2,5.5,23.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000034,0,2,3,5,2,4,17,17,33.2,32.6,5.4,0.29999999999999716,0.09999999999999964,-0.25881904510252157,0.9659258262890681,0.0,28.0,0,1
MEAS_R000035,C029,S01,35,35,31.8,38.1,5.4,0.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000035,0,3,2,2,4,3,1,17,31.8,31.8,5.4,0.0,0.0,0.0,1.0,0.0,26.4,0,1
MEAS_R000036,C029,S01,36,36,35.7,38.1,6.1,11.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000036,0,4,1,5,2,1,2,17,31.8,31.8,5.4,3.900000000000002,0.6999999999999993,0.258819045102521,-0.9659258262890682,0.0,29.6,0,0
MEAS_R000037,C029,S01,37,37,32.9,38.0,6.9,12.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000037,0,1,4,1,3,4,4,17,36.8,35.7,6.4,-3.8999999999999986,0.5,1.2246467991473532e-16,-1.0,0.0,26.0,0,0
MEAS_R000038,C029,S01,38,38,33.1,38.2,6.8,12.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000038,0,2,4,2,1,3,5,17,32.9,36.8,6.9,0.20000000000000284,-0.10000000000000053,1.2246467991473532e-16,-1.0,0.0,26.3,0,0
