CowKey,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour
C008,32.1,38.1,6.5,9.0
C008,33.2,38.1,8.4,11.0
C008,36.6,38.1,9.3,11.0
C008,33.3,38.1,5.5,11.0
C008,34.3,38.1,10.8,10.0
C008,35.5,38.2,11.3,16.0
C008,35.0,38.2,9.6,16.0
C008,34.4,38.2,7.5,17.0
C008,31.6,38.3,3.5,22.0
C008,33.6,38.2,7.9,1.0
C030,27.8,40.1,6.9,1.0
C030,30.0,40.2,2.5,14.0
C030,32.0,40.3,6.6,8.0
C030,30.6,40.3,4.3,9.0
C030,31.0,40.3,5.4,10.0
C030,30.4,40.3,10.5,10.0
C030,31.7,40.2,11.8,12.0
C030,34.2,40.2,8.3,16.0
C030,32.5,40.2,11.7,13.0
C030,32.8,40.2,8.5,18.0
C030,32.2,40.2,3.5,20.0
C030,32.2,40.2,7.9,21.0
C030,30.6,40.1,3.0,0.0
C030,27.8,40.2,6.9,21.0
C018,30.4,38.8,3.9,2.0
C018,32.3,38.8,6.6,9.0
C018,30.8,38.8,4.4,9.0
C018,32.6,38.8,5.3,9.0
C018,32.9,38.8,8.8,15.0
C018,32.9,38.8,6.5,11.0
C018,32.7,38.8,11.7,11.0
C018,34.9,38.8,13.7,18.0
C018,36.0,38.8,10.6,18.0
C018,31.0,38.8,7.5,16.0
C018,32.4,38.8,7.5,0.0
C018,34.1,38.8,4.0,0.0
C025,29.2,39.4,13.6,14.0
C025,29.5,39.5,16.5,10.0
C025,31.5,39.5,16.8,14.0
C025,31.2,39.4,21.3,15.0
C025,31.9,39.4,24.5,14.0
C025,29.8,39.4,14.9,23.0
C025,31.4,39.4,14.3,23.0
C025,31.3,39.5,12.4,1.0
C025,30.0,39.4,8.4,21.0
C010,35.0,38.7,28.5,2.0
C010,37.5,38.6,32.6,14.0
C010,37.8,38.7,34.3,13.0
C010,35.5,38.6,31.2,14.0
C010,38.4,38.7,33.8,11.0
C010,37.8,38.6,33.0,12.0
C010,39.6,38.7,36.7,12.0
C010,39.0,38.6,34.2,12.0
C010,38.5,38.7,37.4,18.0
C010,38.0,38.6,32.9,20.0
C010,37.2,38.6,33.7,18.0
C010,37.3,38.6,32.3,17.0
C010,37.3,38.7,31.9,20.0
C010,38.7,38.7,32.6,22.0
C019,31.5,39.5,25.1,23.0
C019,36.8,39.5,31.0,14.0
C019,36.8,39.4,36.9,17.0
C019,38.9,39.5,41.3,14.0
C019,35.4,39.4,34.3,16.0
C019,35.7,39.5,34.8,19.0
C019,37.1,39.6,30.5,0.0
C019,34.1,39.5,25.0,0.0
C019,35.6,39.5,31.1,2.0
C019,31.6,39.5,21.1,23.0
C019,35.4,39.5,34.0,16.0
C019,36.2,39.4,36.9,11.0
C019,39.7,39.5,36.3,16.0
C005,29.7,37.8,26.0,3.0
C005,34.1,37.8,33.9,11.0
C005,35.4,37.9,31.0,12.0
