Comparator,N,Full_R2,Full_RMSE,Full_MAE,Comparator_R2,Comparator_RMSE,Comparator_MAE,Delta_RMSE_comparator_minus_full,Delta_MAE_comparator_minus_full,MeanAbsErrorDiff_comparator_minus_full,MeanSquaredErrorDiff_comparator_minus_full,PermutationP_MAE_loss_diff_two_sided,PermutationP_MSE_loss_diff_two_sided,PredictionSource,DeltaMAE_boot_mean,DeltaMAE_CI2.5,DeltaMAE_CI97.5,DeltaRMSE_boot_mean,DeltaRMSE_CI2.5,DeltaRMSE_CI97.5,DeltaMSE_boot_mean,DeltaMSE_CI2.5,DeltaMSE_CI97.5,BootstrapN
StrictHierarchicalEBResidualXGB,503,0.8551359051012453,0.2519556594120059,0.1345534257161156,0.8436343152400183,0.2617667402225561,0.1452503214254855,0.0098110808105501,0.0106968957093699,0.0106968957093699,0.0050401719770044,0.0012399752004959,0.0234395312093758,independent row-level prediction file: hierarchical_residual_oof_predictions.csv,0.0106444806042308,0.0041616306570456,0.0171959212776033,0.0098516635753994,0.0012720661321132,0.0189195991895896,0.0050084642157044,0.0006959440743686,0.009464881245559,10000
StrictFixedDualEnsemble,503,0.8551359051012453,0.2519556594120059,0.1345534257161156,0.8418680183421952,0.2632410387992863,0.1454149991528139,0.0112853793872804,0.0108615734366983,0.0108615734366984,0.0058141901983886,0.0003399932001359,0.0053198936021279,independent row-level prediction file: strict_fixed_dual_ensemble_oof_predictions.csv,0.0108482035970679,0.0049496694764459,0.0168408510706893,0.0112860874570394,0.003391540101252,0.0192938759543573,0.0057762905186639,0.0017604928799736,0.0098537306675275,10000
StrictSourceAwareMemoryFusion,503,0.8551359051012453,0.2519556594120059,0.1345534257161156,0.8389092111125174,0.2656923765041136,0.1428659690247953,0.0137367170921077,0.0083125433086797,0.0083125433086797,0.0071107846226649,0.0155796884062318,0.0043999120017599,independent row-level prediction file: strict_source_memory_fusion_predictions.csv,0.00829699319552,0.0014751911588028,0.015299902586558,0.0138231735669578,0.004338517254509,0.0238874938246705,0.0071074250920157,0.0023000989746253,0.0122465594065462,10000
StrictBatchSessionOrderFusion,503,0.8551359051012453,0.2519556594120059,0.1345534257161156,0.8335701055638668,0.270059468189926,0.1584724280980192,0.0181038087779201,0.0239190023819036,0.0239190023819036,0.0094504620492869,0.0011799764004719,0.1994560108797824,independent row-level prediction file: 2026.5/individual_session_calibration_oof_predictions.csv,0.0238346568469509,0.0099877131661181,0.0378792189572663,0.0181833650597599,-0.0100309092173212,0.0446034167361132,0.0093730912715587,-0.0053009614094347,0.0230648309859992,10000
