Method,ComponentMeaning,N,CowCount,R2,RMSE,MAE,Bias,ErrorSD,Delta_R2_vs_full,Delta_RMSE_vs_full,Delta_MAE_vs_full,Rank_by_RMSE
StrictThreeModelStack,full stack: source-memory + batch-session + hierarchical residual,503,30,0.8551359051012453,0.2519556594120059,0.1345534257161157,0.0010513101999986,0.252204290870729,0.0,0.0,0.0,1
StrictNestedBlendOOFAgent,alternative nested blend route,503,30,0.853879633017101,0.253045790094006,0.144206265646125,0.0014750930025676,0.253293398606699,-0.0012562720841442,0.0010901306820001,0.0096528399300092,2
StrictHierarchicalEBResidualXGB,hierarchical empirical-Bayes/residual route only,503,30,0.8436343152400183,0.2617667402225561,0.1452503214254855,-0.0127928933757862,0.2617142331161063,-0.0115015898612269,0.0098110808105502,0.0106968957093698,3
StrictFixedDualEnsemble,two-component fixed source-memory/batch-session ensemble,503,30,0.841868018342196,0.263241038799286,0.145414999152814,0.0114403814981987,0.263254137647302,-0.0132678867590492,0.0112853793872801,0.0108615734366983,4
StrictSourceAwareMemoryFusion,source-aware memory component route,503,30,0.83890921111252,0.265692376504112,0.142865969024792,0.0090468619135541,0.265802657193203,-0.0162266939887252,0.0137367170921061,0.0083125433086763,5
StrictBatchSessionOrderFusion,batch/session order component route,503,30,0.833570105563866,0.270059468189926,0.158472428098019,-0.0041150841024163,0.27029693266715,-0.0215657995373792,0.0181038087779201,0.0239190023819033,6
