Display,Configuration,Method,N,R2,RMSE_C,MAE_C,Bias_C,MedianAE_C,P95_AE_C,Within_0_2C,Within_0_3C,Within_0_5C,Delta_R2_vs_full,Delta_RMSE_vs_full_C,Delta_MAE_vs_full_C,RemovedModel,ModelDefinition
Full A+B+C,Full A+B+C,Full TH-SHRC,503,0.8551359051012453,0.2519556594120059,0.1345534257161156,0.0010513101999981,0.0470172051464032,0.535071510238173,0.8031809145129225,0.8707753479125249,0.9423459244532804,0.0,0.0,0.0,,Complete thermal-state memory + individual/session calibration + hierarchical residual correction
A+B,w/o C (A+B),w/o hierarchical residual correction,503,0.8406577706826673,0.2642464635115231,0.1452009353076644,-0.0004003796620258,0.0518706457770221,0.5993426536402665,0.7793240556660039,0.8449304174950298,0.926441351888668,-0.0144781344185779,0.0122908040995172,0.0106475095915488,C,Hierarchical residual-correction route
A+C,w/o B (A+C),w/o individual/session calibration,503,0.7061561113115391,0.3588410102013432,0.1857842138510744,-7.30099597000542e-05,0.0189593996970884,0.8636678051580897,0.7137176938369781,0.7813121272365805,0.8608349900596421,-0.1489797937897061,0.1068853507893372,0.0512307881349588,B,Individual/session calibration
B+C,w/o A (B+C),w/o thermal-state memory/retrieval,503,0.5407982149916413,0.4485858012109923,0.3215669740245913,0.0003585757335208,0.2355584765347629,0.8175792017351816,0.4254473161033797,0.6003976143141153,0.7992047713717694,-0.314337690109604,0.1966301417989864,0.1870135483084757,A,Thermal-state memory/retrieval
