Branch,mean,std,min,max
WeightSourceMemory,0.06194516992882198,0.08657611386834801,-0.0654452466915245,0.2127407022362604
WeightBatchSession,0.2691499240168196,0.20531588071820317,-0.3539274391660001,0.4804951383994194
WeightHierarchicalResidual,0.6891903384985926,0.2708644779514109,0.3846258935373043,1.435558080964256
